Address,Street Name,Zip Code,City,Canton,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Sunday_Open,Monday_Open,Tuesday_Open,Wednesday_Open,Thursday_Open,Friday_Open,Saturday_Open,Sunday_Close,Monday_Close,Tuesday_Close,Wednesday_Close,Thursday_Close,Friday_Close,Saturday_Close
"Bd de Pérolles 21a, 1700 Fribourg, Switzerland",Bd de Pérolles 21a,1700,Fribourg,Fribourg,Switzerland,46.79978680000001,7.1523113,4.0,1,Denner Discount,ChIJV4CIg4tpjkcRvJHJduamhUM,,0800,0800,0800,0800,0800,0800,,1900,1900,1900,1900,2100,1600
"Rue du Centre 4 Centre de Cormanon-Est 1752, 1 Villars-sur-Glâne, Switzerland",Rue du Centre 4 Centre de Cormanon-Est 1752,1752,Villars-sur-Glâne,Fribourg,Switzerland,46.7934391,7.133906299999999,4.1,15,Denner Bibite,ChIJ8QFa-N9ujkcRKV_EStPO5zE,,0800,0800,0800,0800,0800,0800,,1900,1900,1900,1900,2100,1600
"Sonnenplätzli 1, 6431 Schwyz, Switzerland",Sonnenplätzli 1,6431,Schwyz,Uri,Switzerland,47.0206364,8.656731800000001,4.4,53,Denner Satellit,ChIJuzOwHEFOhUcR93X2TKWrV4Q,,1330,1330,1330,1330,1330,0615,,1830,1830,1830,1830,1830,1300
"Mythen-Centerstrasse 16, 6438 Ibach, Switzerland",Mythen-Centerstrasse 16,6438,Ibach,Uri,Switzerland,47.0153855,8.6472928,4.1,159,Denner Discount,ChIJh-n3HTpOhUcR39XjGrSMfog,,0900,0900,0900,0900,0900,0800,,2000,2000,2000,2000,2000,1800
"Gaiserstrasse 21, 9050 Appenzell, Switzerland",Gaiserstrasse 21,9050,Appenzell,Zürich,Switzerland,47.33279839999999,9.414546399999999,3.9,75,Denner Satellit,ChIJX441hX0hm0cRHYAp-9h2sgA,,0800,0800,0800,0800,0800,0800,,1900,1900,1900,1900,1900,1700
"Gartenstrasse 2, 9100 Herisau, Switzerland",Gartenstrasse 2,9100,Herisau,Zürich,Switzerland,47.3865065,9.283916500000004,4.2,212,Denner Discount,ChIJD1GUGSremkcRLzkNtCg8ixU,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,1900,2000,1800
"Andwilerstrasse 2, 9200 Gossau, Switzerland",Andwilerstrasse 2,9200,Gossau,Zürich,Switzerland,47.4161181,9.2671916,4.2,288,Denner Discount,ChIJRa1q1engmkcReqVhVO2cXmw,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,1900,2000,1700
"Hauptstrasse 103, 9430 St. Margrethen, Switzerland",Hauptstrasse 103,9430,St.,Zürich,Switzerland,47.45283,9.63239,4.1,156,Denner Discount,ChIJTb0JVEERm0cRd7QYBy9JuP4,,0800,0800,0800,0800,0800,0800,,1900,1900,1900,1900,1900,1700
"Stossstrasse 2, 9450 Altstätten, Switzerland",Stossstrasse 2,9450,Altstätten,Zürich,Switzerland,47.3771651,9.537924100000001,4.1,49,Denner Discount,ChIJoXqWEfAXm0cRAC5cHqQpixA,,0800,0800,0800,0800,0800,0800,,1900,1900,1900,1900,2000,1700
"Dorfstrasse 102, 9055 Bühler, Switzerland",Dorfstrasse 102,9055,Bühler,Zürich,Switzerland,47.3737978,9.417319999999998,4.4,129,Denner Partner,ChIJY975U_whm0cRxIC7LIWHO5w,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,1900,1900,1700
"Litenstrasse 2, 9411 Reute, Switzerland",Litenstrasse 2,9411,Reute,Zürich,Switzerland,47.4195843,9.5756476,4.5,43,Denner Express,ChIJF7HiDxcXm0cRwYWfv92oDeg,,1330,1330,1330,1330,1330,0800,,1830,1830,1830,1830,1830,1400
"Wiesentalstrasse 4, 9425 Thal, Switzerland",Wiesentalstrasse 4,9425,Thal,Zürich,Switzerland,47.47957539999999,9.5773285,4.3,177,Denner Discount,ChIJ__RmpokQm0cRehLFDDi1rnk,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,1900,2000,1700
"Neudorfstrasse 60, 9430 St. Margrethen, Switzerland",Neudorfstrasse 60,9430,St.,Zürich,Switzerland,47.4500726,9.651201799999999,4.1,15,Denner Discount,ChIJ7RCq2YDPjUcRti_JR4DHyuQ,,0900,0900,0900,0900,0900,0800,,1900,1900,1900,1900,2100,1700
"Engelbergstrasse 58, 6370 Stans, Switzerland",Engelbergstrasse 58,6370,Stans,Nidwalden,Switzerland,46.9563954,8.3736553,4.2,102,Denner Satellit,ChIJp-biCqj3j0cRx7iho3BLz9E,,1330,1330,1330,1330,1330,0800,,1830,1830,1830,1830,1830,1700
"Bahnhofstrasse 19, 6362 Stansstad, Switzerland",Bahnhofstrasse 19,6362,Stansstad,Nidwalden,Switzerland,46.9765498,8.3370167,4.7,63,Denner Partner,ChIJmU3gSJX3j0cR9oq268yyoQc,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,1900,1900,1800
"Bitzistrasse 2, 6370 Stans, Switzerland",Bitzistrasse 2,6370,Stans,Nidwalden,Switzerland,46.96537780000001,8.3556045,4.3,112,Denner Discount,ChIJvbxclhP3j0cRUG-MYUka3es,,0900,0900,0900,0900,0900,0800,,2000,2000,2000,2000,2000,1800
"Dorfstrasse 87, 6375 Beckenried, Switzerland",Dorfstrasse 87,6375,Beckenried,Nidwalden,Switzerland,46.9703125,8.4660541,4.4,154,Denner Partner,ChIJpefhjy1YhUcRk3ssGIctX_o,,0600,0600,0600,0600,0600,0600,,1900,1900,1900,1900,1900,1800
"Im Westfeld 30, 4055 Basel, Switzerland",Im Westfeld 30,4055,Basel,Basel-Stadt,Switzerland,47.5646912,7.5646753,4.3,23,Denner Discount,ChIJlWg_BQy5kUcRDS8_sURIZTc,,0800,0800,0800,0800,0800,0730,,1900,1900,1900,1900,1900,1800
"Baselstrasse 58, 4125 Riehen, Switzerland",Baselstrasse 58,4125,Riehen,Basel-Landschaft,Switzerland,47.585514,7.650328999999999,4.0,97,Denner Discount,ChIJM_do_ky3kUcRNM7cMMO46eQ,,0800,0800,0800,0800,0800,0730,,1900,1900,1900,1900,1900,1800
